profile,quantum,seed,algorithm,mean_waiting,mean_turnaround,mean_response,mean_slowdown,p95_waiting,max_waiting,makespan,utilization,throughput,context_switches,dispatches
batch,1,102,priority,318.32,344.24,318.32,14.526308147088148,606,631,648,1.0,0.038580246913580245,24,25
batch,1,102,hrrn,263.2,289.12,263.2,9.864586279323207,574,610,648,1.0,0.038580246913580245,24,25
batch,1,103,fcfs,359.2,388.16,359.2,15.513142526221692,656,684,724,1.0,0.034530386740331494,24,25
batch,1,103,sjf,289.48,318.44,289.48,9.581898204683691,644,684,724,1.0,0.034530386740331494,24,25
batch,1,103,srtf,289.48,318.44,289.48,9.581898204683691,644,684,724,1.0,0.034530386740331494,24,25
batch,1,103,rr,573.36,602.32,12.0,21.328270073609552,683,684,724,1.0,0.034530386740331494,723,724
batch,1,103,priority,339.44,368.4,339.44,13.954891322055945,650,684,724,1.0,0.034530386740331494,24,25
batch,1,103,hrrn,294.32,323.28,294.32,10.022615952238082,644,684,724,1.0,0.034530386740331494,24,25
batch,1,104,fcfs,327.0,353.28,327.0,16.793790300398996,586,621,657,1.0,0.0380517503805175,24,25
batch,1,104,sjf,243.28,269.56,243.28,8.638004525526265,577,617,657,1.0,0.0380517503805175,24,25
batch,1,104,srtf,243.28,269.56,243.28,8.638004525526265,577,617,657,1.0,0.0380517503805175,24,25
batch,1,104,rr,481.08,507.36,12.0,20.312662657706138,616,617,657,1.0,0.0380517503805175,656,657
batch,1,104,priority,313.04,339.32,313.04,15.271867218649827,609,646,657,1.0,0.0380517503805175,24,25
batch,1,104,hrrn,257.0,283.28,257.0,9.836348608696435,578,617,657,1.0,0.0380517503805175,24,25
batch,1,105,fcfs,331.24,360.12,331.24,13.911396960701316,646,682,722,1.0,0.03462603878116344,24,25
batch,1,105,sjf,279.08,307.96,279.08,9.140608468469209,642,682,722,1.0,0.03462603878116344,24,25
batch,1,105,srtf,279.08,307.96,279.08,9.140608468469209,642,682,722,1.0,0.03462603878116344,24,25
batch,1,105,rr,550.84,579.72,12.0,20.789942792852973,681,682,722,1.0,0.03462603878116344,721,722
batch,1,105,priority,335.88,364.76,335.88,14.099396527684448,652,686,722,1.0,0.03462603878116344,24,25
batch,1,105,hrrn,288.56,317.44,288.56,9.93000635933031,642,682,722,1.0,0.03462603878116344,24,25
batch,1,106,fcfs,290.6,313.12,290.6,16.804228080399135,520,544,563,1.0,0.04440497335701599,24,25
batch,1,106,sjf,207.28,229.8,207.28,8.765301023537866,487,523,563,1.0,0.04440497335701599,24,25
batch,1,106,srtf,207.28,229.8,207.28,8.765301023537866,487,523,563,1.0,0.04440497335701599,24,25
batch,1,106,rr,409.72,432.24,12.0,20.424622506148822,523,523,563,1.0,0.04440497335701599,559,563
batch,1,106,priority,264.44,286.96,264.44,14.615956299548404,520,544,563,1.0,0.04440497335701599,24,25
batch,1,106,hrrn,217.52,240.04,217.52,9.780259865865128,487,523,563,1.0,0.04440497335701599,24,25
batch,1,107,fcfs,304.12,326.92,304.12,18.150629477493133,539,551,570,1.0,0.043859649122807015,24,25
batch,1,107,sjf,211.72,234.52,211.72,8.91985091760268,491,530,570,1.0,0.043859649122807015,24,25
batch,1,107,srtf,211.72,234.52,211.72,8.91985091760268,491,530,570,1.0,0.043859649122807015,24,25
batch,1,107,rr,419.12,441.92,12.0,20.670103837378313,530,530,570,1.0,0.043859649122807015,569,570
batch,1,107,priority,274.88,297.68,274.88,15.199772051514923,519,558,570,1.0,0.043859649122807015,24,25
batch,1,107,hrrn,212.76,235.56,212.76,9.06376548342901,491,530,570,1.0,0.043859649122807015,24,25
batch,1,108,fcfs,280.24,304.32,280.24,14.887793517456055,551,563,602,1.0,0.04152823920265781,24,25
batch,1,108,sjf,218.0,242.08,218.0,8.68055458164127,524,563,602,1.0,0.04152823920265781,24,25
batch,1,108,srtf,218.0,242.08,218.0,8.68055458164127,524,563,602,1.0,0.04152823920265781,24,25
batch,1,108,rr,429.08,453.16,12.0,20.255915465511443,562,563,602,1.0,0.04152823920265781,601,602
batch,1,108,priority,268.12,292.2,268.12,13.867853709585908,530,563,602,1.0,0.04152823920265781,24,25
batch,1,108,hrrn,218.32,242.4,218.32,8.73073107181776,524,563,602,1.0,0.04152823920265781,24,25
batch,1,109,fcfs,310.96,336.48,310.96,15.155771305927384,602,623,638,1.0,0.03918495297805643,24,25
batch,1,109,sjf,244.28,269.8,244.28,9.125539698857303,559,598,638,1.0,0.03918495297805643,24,25
batch,1,109,srtf,244.28,269.8,244.28,9.125539698857303,559,598,638,1.0,0.03918495297805643,24,25
batch,1,109,rr,482.72,508.24,12.0,20.80714797597375,598,598,638,1.0,0.03918495297805643,637,638
batch,1,109,priority,301.04,326.56,301.04,14.376540901727836,586,624,638,1.0,0.03918495297805643,24,25
batch,1,109,hrrn,245.16,270.68,245.16,9.240670345987951,559,598,638,1.0,0.03918495297805643,24,25
batch,1,110,fcfs,335.8,362.08,335.8,16.07021727180653,617,640,657,1.0,0.0380517503805175,24,25
batch,1,110,sjf,257.56,283.84,257.56,9.426801303177262,578,617,657,1.0,0.0380517503805175,24,25
batch,1,110,srtf,257.56,283.84,257.56,9.426801303177262,578,617,657,1.0,0.0380517503805175,24,25
batch,1,110,rr,510.4,536.68,12.0,21.188119651907247,616,617,657,1.0,0.0380517503805175,655,657
batch,1,110,priority,318.36,344.64,318.36,14.828819119806973,582,617,657,1.0,0.0380517503805175,24,25
batch,1,110,hrrn,270.32,296.6,270.32,10.404935710216657,578,617,657,1.0,0.0380517503805175,24,25
batch,1,111,fcfs,330.44,357.16,330.44,15.86990075362123,590,628,668,1.0,0.0374251497005988,24,25
batch,1,111,sjf,260.64,287.36,260.64,9.323793266670029,589,628,668,1.0,0.0374251497005988,24,25
batch,1,111,srtf,260.64,287.36,260.64,9.323793266670029,589,628,668,1.0,0.0374251497005988,24,25
batch,1,111,rr,515.84,542.56,12.0,21.071214405453684,627,628,668,1.0,0.0374251497005988,666,668
batch,1,111,priority,325.16,351.88,325.16,15.394299765176639,592,630,668,1.0,0.0374251497005988,24,25
batch,1,111,hrrn,270.36,297.08,270.36,10.128533818836209,589,628,668,1.0,0.0374251497005988,24,25
batch,1,112,fcfs,314.2,338.32,314.2,17.42227607895807,573,585,603,1.0,0.04145936981757877,24,25
batch,1,112,sjf,234.48,258.6,234.48,9.228538796047621,531,565,603,1.0,0.04145936981757877,24,25
batch,1,112,srtf,234.48,258.6,234.48,9.228538796047621,531,565,603,1.0,0.04145936981757877,24,25
batch,1,112,rr,464.68,488.8,12.0,20.982413043337004,565,565,603,1.0,0.04145936981757877,599,603
batch,1,112,priority,289.36,313.48,289.36,14.560301843067652,563,580,603,1.0,0.04145936981757877,24,25
batch,1,112,hrrn,238.12,262.24,238.12,9.65365369485785,531,565,603,1.0,0.04145936981757877,24,25
batch,1,113,fcfs,277.24,300.56,277.24,14.412738777259056,556,572,583,1.0,0.04288164665523156,24,25
batch,1,113,sjf,220.6,243.92,220.6,8.95621869877392,508,545,583,1.0,0.04288164665523156,24,25
batch,1,113,srtf,220.6,243.92,220.6,8.95621869877392,508,545,583,1.0,0.04288164665523156,24,25
